Country,Topic,Learners' Prof.,Editor,Tokens,A (Added),D (Deleted),A+D,Tokens.1,Content (/12),Organization (/12),Vocabulary (/12),Language Use (/12),Mechanics (/12),Total 1 (%),Total 2 (Weighted %),Code,Sex,Age,Grade/Degree,Major,Acad. Genre,Prof. Test,Score,Vocab Size Test,CEFR,INTM,INSM,INTM+INSM,INTM-INSM,Primary,Secondary,College,Inschool,Outschool,Listening,Reading,Speaking,Writing,NS,Pronunciation,Presentation,EssayW,essay
CHN,PTJ,B1_1,LC,223,32,22,54,215,9,7,7,8,8,65.0,62.5,W_CHN_011,M,18,1.0,Telecommunication,Sciences & Technology,CEE,83,35,B1_1,4.83,4.5,9.33,0.33,1.0,4.25,4.13,4.0,3.67,4.5,5.0,3.5,3.75,3.0,3.0,5.0,5.0,"I agree with the point that it is important for college students to have a part-time job. There are reasons why a part-time job is important. First, it can improve our abilities which cannot be learned in class, like communicating with each other. Second, every company that you want to apply to consider real job experiences as a very important thing. So when interviewing, you will gain advantages over other people by owning a part-time job. Further, a part time job is really a preparation for one's future professional job. However, as a college student, the study of textbooks seems very important, and we have to take all kinds of tests. Doing a part-time job may have a negative effect on the score of tests, and may cause very serious impacts. If your scores are low, you may even lose the ability to graduate from school. Working at a part time job may influence you to see the negative side of our society, eventually causing a negative effect on your mind. Thus, I think it is very important to balance our part-time jobs with our university life. Getting high scores while doing a part-time job is a task that not everyone can achieve. As such, we should give up the part-time job at a certain point."
CHN,PTJ,B1_1,LC,226,23,20,43,216,10,9,8,8,9,73.3,70.4,W_CHN_012,F,19,1.0,Telecommunication,Sciences & Technology,CEE,89,35,B1_1,4.67,4.33,9.0,0.34,1.0,2.63,4.75,4.11,2.67,3.75,4.0,3.5,3.5,2.0,4.0,4.0,5.0,"Today, more and more college students tend to have a part-time job. Is this good or bad? As far as I am concerned, it depends on the time you spend in doing it. If you spend a proper amount of time on it, you can benefit a lot from it. Firstly, having a part-time job can enrich the student's social experiences. He will meet all kinds of people in his job and during this period, he will learn how to deal with them. This can improve his ability in communicating with others. What's more, it's not until a student makes money by himself that he learns that acquiring a living is not an easy task. In this case, he will be more understanding towards his parents and learn to manage his money properly. However, having a part-time job also has disadvantages if you spend too much time on it. Having a job means that our studying time can't be guaranteed. For us students, studying is our major duty. Once you have a part-time job, the problems in your job might prevent you from being fully absorbed in your major studies. Thus, just as each coin has two sides, taking up a part-time job has both advantages and disadvantages. It's all up to you whether you can really learn something from it."
CHN,PTJ,B1_2,LC,251,35,21,56,236,7,6,6,6,6,51.7,50.0,W_CHN_013,F,19,2.0,Law,Social Sciences,CEE,85,39,B1_2,4.33,5.17,9.5,-0.84,2.0,3.75,4.25,3.89,3.67,4.25,5.0,3.25,3.5,6.0,6.0,5.0,4.0,"Nowadays many people hold a pessimistic attitude towards college students' behavior, specifically as it relates to having part-time jobs. For me, I think it is important for college students to have part-time jobs for several reasons. First and foremost, it is a perfect opportunity for experience-lacking college students to practice their knowledge. Part-time jobs open a new door for inexperienced students to encounter and learn to adapt to the complex society, which can broaden their horizons and strengthen their abilities. Secondly, taking up part-time jobs is also an approach to relaxing. As we know, all work and no play make Jack a dull boy. Getting along with various kinds of people and working in a group can bring a fresh feeling during part-time jobs. Last but not least, college students can also earn money via part-time jobs, which can help to support their lives and allow them to realize the hardship required to acquire every coin. As to those against part-time jobs, saying that they are a waste of time and have a bad impact on studying, I don't think they are right. As mentioned above, having part-time jobs is meaningful, as it not only strengthens students, but also makes them mature enough to set foot into society. As for studying, what is known to all is that appropriate practice contributes to studying by combining theory and practice. All in all, taking up part-time jobs should be encouraged among college students."
CHN,PTJ,B1_2,LC,264,13,23,36,262,9,7,9,8,9,70.0,66.3,W_CHN_014,F,19,2.0,Law,Social Sciences,CEE,85,39,B1_2,4.33,5.67,10.0,-1.34,4.0,4.25,3.63,3.89,4.0,4.0,4.75,3.5,3.5,6.0,6.0,5.0,3.0,"Nowadays, as most college students have no considerable social experience, what they have learned and what they are going to learn seem to become alienated from reality. Thus, the question of whether college students should have a part-time job has aroused wide attention. Indeed, we should attach more importance to part-time jobs. College students can benefit a lot from having a part-time job. To begin with, we can earn some money in order to lighten our parents' financial load. As we all know, college tuition is not a small sum of money. Some students pay a lot for it, only to gain little knowledge in their college lives. Beyond that, it is also a heavy burden, especially for a less well-off family. Besides, in the course of the job, we have to cope with a variety of people and communicate various words. Obviously, it is a great opportunity for us to gather experience and learn interpersonal skills. Further, what we learn from the part-time job can contribute to the future development of excellence. Last but not least, we can adjust ourselves to the society in advance. When we enter society, there are many objective factors that you can never change or foresee. That is to say, what we learn in college is theoretical and not enough for us to face all kinds of situations. It is because of the part-time job that we learn to combine theory with practice. From this, we can draw the conclusion that it is important for college students to have part-time jobs."
CHN,PTJ,B1_2,LC,223,25,26,51,228,7,8,9,11,10,75.0,68.3,W_CHN_015,F,19,2.0,Law,Social Sciences,CEE,84,38,B1_2,4.5,4.83,9.33,-0.33,2.0,3.88,4.0,4.0,3.44,4.5,4.25,3.5,3.5,2.0,4.0,4.0,4.0,"There is currently a controversial debate on part-time jobs, concerning whether we should take a part-time job and how much time we should spend on a part-time job. It is natural that people from different backgrounds hold divergent attitudes towards the issue. People in favor of having a part-time job claim that it can release their financial burdens, especially as it is already common for young people to bear a loan from the bank to support their families or themselves. Further, a part-time job may even entertain the person as well as bring in money, if the job relates to his or her interest. In this way, people will make full use of their time and be energetic all the time. In contrast, people who hold the opposite opinion argue that a part-time job will occupy a big share of people’s attention and may lead them to poor health. They cannot focus their full attention on their main work, which is why part-time jobs are banned in lots of companies. For my part, I would side with the first point of view. Part-time jobs do fill our spare time when we have the passion to do something interesting and attractive. So seek a part-time job, and be rich both in wealth and spirit."
CHN,PTJ,B1_2,LC,239,28,23,51,238,9,9,9,7,10,73.3,68.3,W_CHN_016,F,19,2.0,Law,Social Sciences,CEE,81,39,B1_2,4.17,5.17,9.34,-1.0,2.0,4.25,3.75,3.78,3.78,4.25,4.75,3.5,3.5,5.0,5.0,5.0,4.0,"Part-time jobs are not unfamiliar to college students. Actually, many college students have part-time jobs or have previously worked at some part-time jobs. It is very important for college students to have part-time jobs for several reasons. As you know, most of our college students are already over eighteen years old, which is to say, we are adults. As such, we should try our best to be independent, and not just depend on our parents. The best way to be independent is to make money by ourselves. At the same time, the money we make can also be used to buy something that we want and to do something that we want to do, such as traveling, attending some clubs and so on. Besides, part-time jobs can develop our abilities and establish a good foundation for our future jobs. It is known to us all that experience is very important when applying for a job. Furthermore, a part-time job can help us find out more about the society and let us know what kinds of people society needs. Only in this way can we make good decisions and choices to shape our future. In a word, part-time jobs are so important for our college students that every one of us should try our best to take up some part-time jobs. It will contribute significantly to our present life and our future."
CHN,PTJ,B1_1,LC,259,38,31,69,251,7,6,8,6,7,56.7,53.8,W_CHN_017,F,19,2.0,Law,Social Sciences,CEE,80,35,B1_1,4.33,5.0,9.33,-0.67,2.0,3.38,3.5,3.56,3.0,3.5,3.5,3.0,3.75,5.0,5.0,5.0,5.0,"What are college students doing at school? Studying. Yes! But many would say that they are doing part-time jobs at the same time. Of course, it is of great importance! Evidently, most of us students are adults now. As an adult, it will be shameful for us to ask our parents for money. To be financially independent is the perfect way to claim that we are independent individuals now, that we are no longer kids under the protection of our parents! Secondly, and also most importantly, having a part-time job allows you to be involved in society. It allows you to find out what the people outside of school look like, how they behave, and how hard it is for us to make money to support ourselves. After going through all of the difficulties that we will encounter, we will gain a lot of experiences. When we graduate and when we next step into society, we will be confident that we are already well-prepared and that we can do it. Thus, we will learn that money is not easy to earn and that our parents are great. We ought to respect them and appreciate what they have done for us. I'm sure we will be more mature and more considerate to others. Working at part-time jobs is a way to see what life really means. Get ready to have a part-time job and try your best to prevent it from having a bad effect on your studies, and then you will be pleasantly surprised!"
CHN,PTJ,B1_2,LC,192,56,47,103,195,6,5,6,5,6,46.7,44.2,W_CHN_018,F,19,2.0,Law,Social Sciences,CEE,85,39,B1_2,4.33,5.67,10.0,-1.34,4.0,4.25,3.63,3.89,4.0,4.0,4.75,3.5,3.5,6.0,6.0,5.0,3.0,"A part-time job is a job taken outside of classes in college. If we have a part-time job, we gain a lot of experience. We learn to arrange time. We learn to arrange money. Further, we learn to do the job in groups in the office we work in. Work is not easy. It's not simple like a class in university. You have to do the job according to the customer's tastes. For example, if you take a part-time job as a freelance photographer, you may have to prove to your customer through a portfolio that you are a real photographer and that you can complete the job in a good condition and take good pictures. If you have good management, you can save a lot of earnings from your part-time job. On the other hand, some parents do not want or disagree that college students should have a part-time job because they think that if the students have a job, they may become lazy to go to class in university. However, the condition applies again for the students: they must be able to arrange their time."
CHN,PTJ,B1_1,LC,241,44,30,74,230,9,9,8,7,9,70.0,66.3,W_CHN_020,F,19,2.0,Education,Humanities,CEE,65,25,B1_1,5.33,4.17,9.5,1.16,2.0,3.13,3.63,3.11,3.33,3.25,3.75,4.0,2.5,6.0,1.0,1.0,6.0,"Whether it is important to have a part-time job is a hot topic for college students to argue. Different people have different views. Some students advocate the idea for several reasons. One reason is that we college students should be responsible for ourselves, and a part-time job can provide us the opportunity to make money, so that we would not have to ask our parents for allowances. It can also relieve the financial pressure of our parents. Another reason is that through a part-time job, we can gain a lot of experience. Besides, it will be good for us to prepare for our future jobs. As the competition is fiercer in society, the more experience you have, the more chances you will have to succeed. However, other students are against this idea. They hold that as a student, we should focus our attention on studying. Working at a part-time job will require much of our time and energy. The life and property security of a part-time worker are also not well-protected by the law. From my own perspective, as we enter university and gain more free time, it is important for us to choose how to use our free time. We should make the most of it and be the master of it. From my own experience, I am working in a restaurant in my free time, and I am happy to have the job."
CHN,PTJ,A2_0,LC,225,30,25,55,220,8,7,7,7,9,63.3,58.8,W_CHN_021,F,20,2.0,Education,Humanities,CEE,82,17,A2_0,5.67,5.67,11.34,0.0,1.0,4.5,4.5,4.33,3.89,5.0,5.0,3.25,4.75,2.0,5.0,2.0,5.0,"I agree that it is important for college students to have a part-time job. Nowadays, a large number of college students have a part-time job. Some of them hold that part-time jobs can help them to adapt to the society well and give them many experiences. Take a friend of mine, for example: when Lily was a college student, she worked in the supermarket as a promoter or worked as a private tutor every weekend. Then owing to her experiences, she quickly acquired a good job after graduating from university. In terms of other students' opinions, they think that they can buy the desired goods that their parents cannot afford. I know a student who works part-time in a restaurant as a waiter so that he can earn enough money to buy a computer. Thus, it is important for college students to have a part-time job. However, our parents don’t always agree with us about getting part-time jobs. They are afraid for our studies and our safety. In my opinion, having a good part-time job is beneficial for students. We should pay attention to the advantages of part-time jobs and make the most of them. Meanwhile, we should learn to gain knowledge from our part-time jobs and use them as helpful tools for our development."
CHN,PTJ,A2_0,LC,209,36,28,64,205,7,8,8,7,6,60.0,58.3,W_CHN_022,F,20,2.0,Education,Humanities,CEE,68,21,A2_0,5.67,5.67,11.34,0.0,1.0,1.88,3.25,2.67,2.11,4.25,2.5,2.0,1.5,2.0,4.0,3.0,5.0,"In recent years, college students taking a part-time job have become very popular in the big city. Many people believe that it is important for college students to have a part-time job. However, I disagree with this. I have some reasons to support my idea. Firstly, I think that everyone has tasks of varying levels of importance in different periods. For a student, studying is the key priority. If you cannot study well, you will be wasting your time. Secondly, lots of students want to lessen their parents' financial burden by taking a part-time job. However, this might have a bad effect on their studies. They do not know that the most important thing that their parents want is for them to learn well and live a better life after they graduate. Therefore, pay much attention to your studies now. The most important thing is not to have a part-time job right now, but learning professional skills and applying your knowledge into practice yourself are the most serious tasks during university. If you want to earn more money, this will really help you later. Thus, don't be influenced by others and try to keep gaining knowledge; you will succeed in the future as a result."
CHN,PTJ,B1_1,LC,254,27,19,46,236,10,8,9,9,11,78.3,72.9,W_CHN_023,F,20,2.0,Education,Humanities,CEE,70,27,B1_1,5.5,5.83,11.33,-0.33,4.0,4.75,5.38,4.89,5.0,5.5,5.25,4.5,5.0,5.0,5.0,5.0,5.0,"I totally approve of the point that it’s important for college students to have a part-time job. As current college students, we should take an active part in the part-time job, if we accomplish our studying tasks first. With the constant development of the economy and society, everyone, including students, is faced with great challenges. Many students who graduate from university cannot find a satisfying job. They also suffer from great pressure. Having a part-time job can benefit students who will enter into society to some extent. First of all, students can improve their other abilities through the work experience. Moreover, they can familiarize themselves with the society in depth. Besides, students are informed of the fact that society isn't favorable to everyone. Those who long for great success and an enjoyable career must exert themselves to study hard. In this sense, students are alerted about the hardship through the part-time job. Take me for example: I once worked as a waitress in a small hotel. During this period, I had to serve customers and take their orders. I served dishes and rice for them, and I was rather tired during these days. Though the pay was low, I was excited. I learned that everyone should spare no efforts to do something if they hunger for a better life in society. I will commit myself to studying hard. All in all, there are important advantages for college students to do a part-time job during their time in university."
CHN,PTJ,A2_0,LC,240,43,30,73,218,8,7,8,8,8,65.0,61.7,W_CHN_024,F,19,2.0,Education,Humanities,CEE,65,24,A2_0,4.5,4.33,8.83,0.17,1.0,2.13,4.13,3.11,2.67,3.5,3.0,2.75,3.25,1.0,4.0,2.0,4.0,"Recently, there has been a discussion about whether it is important for college students to have a part-time job. There are two opinions in answer to this question. Some people think that it is good to have a part-time job, while others don't think that it is good to have one. I think that it is important for college students to have a part-time job for several reasons. Some people might agree with this assertion. Firstly, if they have a part-time job, they can relieve their parents' financial burden. Besides, it can also increase their chances to practice their knowledge in society. However, some people object to this opinion. They claim that part-time jobs will waste the students' time and affect their studying. Therefore, students should just focus on studying hard. As far as I am concerned, students should have a part-time job on the basis of working selectively. For one thing, by working they can keep themselves well-informed of as much knowledge as possible. For another, by being selective, they can avoid working at jobs that everyone can do, and thus avoid wasting their time and learning less. Not being selective will make working ineffective because they won't be doing the job that they should be doing. All in all, it is necessary that we should have a part-time job and be selective about the kind of job that we take."
CHN,PTJ,A2_0,LC,205,29,30,59,212,7,6,6,5,9,55.0,49.6,W_CHN_026,F,20,2.0,Education,Humanities,CEE,67,16,A2_0,4.83,4.83,9.66,0.0,1.0,3.13,3.63,3.11,3.11,3.5,3.25,3.25,3.5,1.0,5.0,5.0,5.0,"I agree with the opinion that it is important for college students to have a part-time job. The following reasons explain my idea. College students need to not only gain knowledge of books, but also practice their knowledge in universities. College students have a part-time job, which fulfills their interests. College students can acquire knowledge from books and practice through home teaching, and they can get life experience through a part-time job. They can discover their shortcomings and advantages. A part-time job is good for college students' growth. For example, the achievements of people who have also experienced university life prove that it is important for college students to have a part-time job. During college, students go through the experience of a part-time job, and all levels of their abilities are raised. They become more confident about themselves and they have great motivation to work. The reasons above explain why I agree that it is important for college students to have a part-time job. It is good for the development of college students. Thus, if you have a chance to have a part-time job, try to get one and work hard at it. You will receive advantages."
CHN,PTJ,B2_0,LC,227,32,29,61,219,9,9,9,8,10,75.0,70.0,W_CHN_028,F,19,1.0,Technology,Sciences & Technology,CEE,87,47,B2_0,5.67,5.67,11.34,0.0,5.0,5.63,5.63,5.44,5.67,5.75,5.75,5.5,5.5,6.0,6.0,6.0,6.0,"Nowadays, many college students take part in part-time jobs. Some people think that it is very important for college students to have a part-time job. As for me, I don’t think that it is a good idea. To have a part-time job is not as important as making a great achievement in your studies. Having a part-time job means that you won't have enough time to study. As a result of this, the quality of education will decline, and many students will not be able to absorb enough professional knowledge that would be suitable for future work. Meanwhile, as many students will earn extra money from their part-time jobs, they will get into the habit of spending their money unwisely. Since they have worked hard to earn money, they will think that they deserve a luxurious life instead of studying after working for a whole day. How can a tired student study hard in his or her lessons? In other words, the disadvantages of having a part-time job for a college student outweigh the advantages. We can't only focus on the working experience of students. Instead, gaining knowledge of the professional field is more important when we are still students. Thus, we should try to pay more attention to our studies now rather than working at some part-time jobs."
CHN,PTJ,A2_0,LC,199,27,21,48,208,7,6,6,8,9,60.0,54.6,W_CHN_038,F,18,1.0,Business,Social Sciences,CEE,77,16,A2_0,5.33,4.0,9.33,1.33,3.5,4.38,5.13,5.11,4.11,5.25,5.0,4.0,4.75,5.0,5.0,4.0,3.0,"Today, more and more college students are taking part-time jobs. Different people hold different viewpoints. Some people agree with the idea that a part-time job is very good for college students. In my opinion, it is not so important for college students to have part-time jobs. I have some reasons to prove my point. Some people think that there are some advantages if students take part-time jobs because they can gain experience and build up their good character. Further, students can earn money from doing part-time jobs, so if they are from a very poor family, they can reduce their family’s financial burden. However, after-school work also brings a lot of problems. For example, some students think about their part-time jobs all the time and cannot decide that study is more important right now. As such, some students now have some problems with studying and some don't even go to class on time. As for me, I think the main task of students is to study hard and gain important knowledge. They can earn money later. Thus, college students need to know that studying is more important than working right now."
