File Name,Country,Topic,Learners' Prof.,Editor,Tokens,A (Added),D (Deleted),A+D,Tokens,Content (/12),Organization (/12),Vocabulary (/12),Language Use (/12),Mechanics (/12),Total 1 (%),Total 2 (Weighted %),Code,Sex,Age,Grade/Degree,Yrs of Stay (< Yrs),Major,Acad. Genre,Prof. Test,Score,Vocab Size Test,CEFR,INTM,INSM,INTM+INSM,INTM-INSM,Primary,Secondary,College,Inschool,Outschool,Listening,Reading,Speaking,Writing,NS,Pronunciation,Presentation,EssayW,,Content,,,,,,,,,,,,,,
W_CHN_PTJ0_011_B1_1_EDIT.txt,CHN,PTJ,B1_1,LC,223,32,22,54,215,9,7,7,8,8,65,62.5,W_CHN_011,M,18,1,N/A,Telecommunication,Sciences & Technology,CEE,83,35,B1_1,4.83,4.5,9.33,0.33,1,4.25,4.13,4,3.67,4.5,5,3.5,3.75,3,3,5,5,,,,,,,,,,,,,,,,
W_CHN_PTJ0_012_B1_1_EDIT.txt,CHN,PTJ,B1_1,LC,226,23,20,43,216,10,9,8,8,9,73.3,70.4,W_CHN_012,F,19,1,N/A,Telecommunication,Sciences & Technology,CEE,89,35,B1_1,4.67,4.33,9,0.34,1,2.63,4.75,4.11,2.67,3.75,4,3.5,3.5,2,4,4,5,,Vocabulary,,,,,,,,,,,,,,
W_CHN_PTJ0_013_B1_2_EDIT.txt,CHN,PTJ,B1_2,LC,251,35,21,56,236,7,6,6,6,6,51.7,50,W_CHN_013,F,19,2,N/A,Law,Social Sciences,CEE,85,39,B1_2,4.33,5.17,9.5,-0.84,2,3.75,4.25,3.89,3.67,4.25,5,3.25,3.5,6,6,5,4,,"""10-12",EXCELLENT TO VERY GOOD: sophisticated range • effective word/idiom choice and usage • word form mastery • appropriate register,,,,,,,,,,,,,
W_CHN_PTJ0_014_B1_2_EDIT.txt,CHN,PTJ,B1_2,LC,264,13,23,36,262,9,7,9,8,9,70,66.3,W_CHN_014,F,19,2,N/A,Law,Social Sciences,CEE,85,39,B1_2,4.33,5.67,10,-1.34,4,4.25,3.63,3.89,4,4,4.75,3.5,3.5,6,6,5,3,,"""7-9","GOOD TO AVERAGE: adequate range • occasional errors of word/idiom form, choice, usage but meaning not obscured",,,,,,,,,,,,,
W_CHN_PTJ0_015_B1_2_EDIT.txt,CHN,PTJ,B1_2,LC,223,25,26,51,228,7,8,9,11,10,75,68.3,W_CHN_015,F,19,2,N/A,Law,Social Sciences,CEE,84,38,B1_2,4.5,4.83,9.33,-0.33,2,3.88,4,4,3.44,4.5,4.25,3.5,3.5,2,4,4,4,,"""4-6","FAIR TO POOR: limited range • frequent errors of word/idiom form, choice, usage • meaning confused or obscured",,,,,,,,,,,,,
W_CHN_PTJ0_016_B1_2_EDIT.txt,CHN,PTJ,B1_2,LC,239,28,23,51,238,9,9,9,7,10,73.3,68.3,W_CHN_016,F,19,2,N/A,Law,Social Sciences,CEE,81,39,B1_2,4.17,5.17,9.34,-1,2,4.25,3.75,3.78,3.78,4.25,4.75,3.5,3.5,5,5,5,4,,"""1-3","VERY POOR: essentially translation • little knowledge of English vocabulary, idioms, word form • OR not enough to evaluate",,,,,,,,,,,,,
W_CHN_PTJ0_017_B1_1_EDIT.txt,CHN,PTJ,B1_1,LC,259,38,31,69,251,7,6,8,6,7,56.7,53.8,W_CHN_017,F,19,2,N/A,Law,Social Sciences,CEE,80,35,B1_1,4.33,5,9.33,-0.67,2,3.38,3.5,3.56,3,3.5,3.5,3,3.75,5,5,5,5,,,,,,,,,,,,,,,,
W_CHN_PTJ0_018_B1_2_EDIT.txt,CHN,PTJ,B1_2,LC,192,56,47,103,195,6,5,6,5,6,46.7,44.2,W_CHN_018,F,19,2,N/A,Law,Social Sciences,CEE,85,39,B1_2,4.33,5.67,10,-1.34,4,4.25,3.63,3.89,4,4,4.75,3.5,3.5,6,6,5,3,,Language Use,,,,,,,,,,,,,,
W_CHN_PTJ0_020_B1_1_EDIT.txt,CHN,PTJ,B1_1,LC,241,44,30,74,230,9,9,8,7,9,70,66.3,W_CHN_020,F,19,2,N/A,Education,Humanities,CEE,65,25,B1_1,5.33,4.17,9.5,1.16,2,3.13,3.63,3.11,3.33,3.25,3.75,4,2.5,6,1,1,6,,"""10-12","EXCELLENT TO VERY GOOD: effective complex constructions • few errors of agreement, tense, number, word order/function, articles, pronouns, prepositions",,,,,,,,,,,,,
W_CHN_PTJ0_021_A2_0_EDIT.txt,CHN,PTJ,A2_0,LC,225,30,25,55,220,8,7,7,7,9,63.3,58.8,W_CHN_021,F,20,2,N/A,Education,Humanities,CEE,82,17,A2_0,5.67,5.67,11.34,0,1,4.5,4.5,4.33,3.89,5,5,3.25,4.75,2,5,2,5,,"""7-9","GOOD TO AVERAGE: effective but simple constructions • minor problems in complex constructions • several errors of agreement, tense, number, word order/function, articles, pronouns, prepositions but meaning seldom obscured",,,,,,,,,,,,,
W_CHN_PTJ0_022_A2_0_EDIT.txt,CHN,PTJ,A2_0,LC,209,36,28,64,205,7,8,8,7,6,60,58.3,W_CHN_022,F,20,2,N/A,Education,Humanities,CEE,68,21,A2_0,5.67,5.67,11.34,0,1,1.88,3.25,2.67,2.11,4.25,2.5,2,1.5,2,4,3,5,,"""4-6","FAIR TO POOR: major problems in simple constructions • frequent errors of negation, agreement, tense, number, word order/function, articles, pronouns, prepositions and/or fragments, run-ons, deletions meaning confused or obscured",,,,,,,,,,,,,
W_CHN_PTJ0_023_B1_1_EDIT.txt,CHN,PTJ,B1_1,LC,254,27,19,46,236,10,8,9,9,11,78.3,72.9,W_CHN_023,F,20,2,N/A,Education,Humanities,CEE,70,27,B1_1,5.5,5.83,11.33,-0.33,4,4.75,5.38,4.89,5,5.5,5.25,4.5,5,5,5,5,5,,"""1-3",VERY POOR: virtually no mastery of sentence construction rules • dominated by errors • does not communicate • OR not enough to evaluate,,,,,,,,,,,,,
W_CHN_PTJ0_024_A2_0_EDIT.txt,CHN,PTJ,A2_0,LC,240,43,30,73,218,8,7,8,8,8,65,61.7,W_CHN_024,F,19,2,N/A,Education,Humanities,CEE,65,24,A2_0,4.5,4.33,8.83,0.17,1,2.13,4.13,3.11,2.67,3.5,3,2.75,3.25,1,4,2,4,,,,,,,,,,,,,,,,
W_CHN_PTJ0_026_A2_0_EDIT.txt,CHN,PTJ,A2_0,LC,205,29,30,59,212,7,6,6,5,9,55,49.6,W_CHN_026,F,20,2,N/A,Education,Humanities,CEE,67,16,A2_0,4.83,4.83,9.66,0,1,3.13,3.63,3.11,3.11,3.5,3.25,3.25,3.5,1,5,5,5,,Mechanics,,,,,,,,,,,,,,
W_CHN_PTJ0_028_B2_0_EDIT.txt,CHN,PTJ,B2_0,LC,227,32,29,61,219,9,9,9,8,10,75,70,W_CHN_028,F,19,1,N/A,Technology,Sciences & Technology,CEE,87,47,B2_0,5.67,5.67,11.34,0,5,5.63,5.63,5.44,5.67,5.75,5.75,5.5,5.5,6,6,6,6,,"""10-12","EXCELLENT TO VERY GOOD: demonstrates mastery of conventions • few errors of spelling, punctuation, capitalization, paragraphing",,,,,,,,,,,,,
W_CHN_PTJ0_038_A2_0_EDIT.txt,CHN,PTJ,A2_0,LC,199,27,21,48,208,7,6,6,8,9,60,54.6,W_CHN_038,F,18,1,N/A,Business,Social Sciences,CEE,77,16,A2_0,5.33,4,9.33,1.33,3.5,4.38,5.13,5.11,4.11,5.25,5,4,4.75,5,5,4,3,,"""7-9","GOOD TO AVERAGE: occasional errors of spelling, punctuation, capitalization, paragraphing but meaning not obscured",,,,,,,,,,,,,
W_CHN_PTJ0_039_A2_0_EDIT.txt,CHN,PTJ,A2_0,LC,216,44,33,77,212,7,6,6,7,6,53.3,51.7,W_CHN_039,F,19,1,N/A,Business,Social Sciences,CEE,79,24,A2_0,4,3.5,7.5,0.5,2,4,2.88,3.22,3.33,4.5,3.25,2.75,3.25,6,5,6,5,,"""4-6","FAIR TO POOR: frequent errors of spelling, punctuation, capitalization, paragraphing • poor handwriting • meaning confused or obscured",,,,,,,,,,,,,
W_CHN_PTJ0_041_A2_0_EDIT.txt,CHN,PTJ,A2_0,LC,239,45,42,87,232,8,9,8,7,7,65,62.9,W_CHN_041,F,18,1,N/A,Business,Social Sciences,CEE,74,15,A2_0,3.17,5.67,8.84,-2.5,1,3.38,3.38,4.44,1.78,3.75,3.25,3,3.5,4,6,4,5,,"""1-3","VERY POOR: no mastery of conventions • dominated by errors of spelling, punctuation, capitalization, paragraphing • handwriting illegible • OR not enough to evaluate",,,,,,,,,,,,,
W_CHN_PTJ0_044_A2_0_EDIT.txt,CHN,PTJ,A2_0,LC,310,43,33,76,307,9,10,8,8,10,75,70,W_CHN_044,F,19,1,N/A,Business,Social Sciences,CEE,72,21,A2_0,4.83,3.33,8.16,1.5,3,3.75,3.63,3.56,3.67,3.25,3.5,4.25,3.75,5,4,5,5,,,,,,,,,,,,,,,,
W_CHN_PTJ0_045_A2_0_EDIT.txt,CHN,PTJ,A2_0,LC,249,44,31,75,233,8,7,7,9,8,65,61.7,W_CHN_045,M,19,1,N/A,Business,Social Sciences,CEE,76,23,A2_0,5.33,4.83,10.16,0.5,3.5,4.25,3.75,4.67,3.22,4.25,4,3.75,4,3,5,5,5,,"How to Calculate the Total Score

Total 1 (%): (Con+Org+Voc+LanU+Mec)/60*100

Total 2 (Weighted %): (Con/12*30 + Org/12*20 + Voc/12*20 + LanU/12*25 + Mec/12*5)  [Corrected in April 2018]

NB: Total 2 reflects the weights proposed in Jacobs et al. 1981. 
",,,,,,,,,,,,,,
W_CHN_PTJ0_046_A2_0_EDIT.txt,CHN,PTJ,A2_0,LC,234,37,27,64,218,11,10,10,9,11,85,80.4,W_CHN_046,F,19,1,N/A,Business,Social Sciences,CEE,80,18,A2_0,5.17,4.67,9.84,0.5,3,4.5,5.13,4.67,4.56,4.25,5,4.75,5.25,5,5,5,5,,,,,,,,,,,,,,,,
W_CHN_PTJ0_160_B2_0_EDIT.txt,CHN,PTJ,B2_0,LC,232,27,15,42,218,9,9,10,11,11,83.3,77.1,W_CHN_160,M,19,2,N/A,English,Humanities,IELTS,7,35,B2_0,4.83,5.33,10.16,-0.5,3,3.88,4.88,4.22,4.22,4.5,4.5,4.25,4.25,3,4,5,5,,,,,,,,,,,,,,,,
W_CHN_PTJ0_163_B2_0_EDIT.txt,CHN,PTJ,B2_0,LC,222,31,25,56,224,9,9,10,9,11,80,73.8,W_CHN_163,F,19,2,N/A,English,Humanities,IELTS,7,34,B2_0,4.83,5.17,10,-0.34,3,4,4.88,4.33,4.22,4.5,4.5,4.25,4.5,3,4,4,4,,,,,,,,,,,,,,,,
W_CHN_PTJ0_172_B2_0_EDIT.txt,CHN,PTJ,B2_0,LC,212,31,24,55,209,10,10,9,10,9,80,77.1,W_CHN_172,F,20,2,N/A,Education,Humanities,IELTS,5,35,B2_0,4.83,5.33,10.16,-0.5,3,3.88,4.88,4.22,4.22,4.5,4.5,4.25,4.25,3,4,5,5,,,,,,,,,,,,,,,,
W_CHN_PTJ0_182_B2_0_EDIT.txt,CHN,PTJ,B2_0,LC,232,39,33,72,217,9,9,8,8,10,73.3,68.3,W_CHN_182,F,20,2,N/A,Education,Humanities,IELTS,5,35,B2_0,4.83,5.33,10.16,-0.5,3,3.88,4.88,4.22,4.22,4.5,4.5,4.25,4.25,3,4,5,5,,,,,,,,,,,,,,,,
W_CHN_PTJ0_228_B2_0_EDIT.txt,CHN,PTJ,B2_0,LC,325,37,23,60,316,11,10,10,11,10,86.7,83.3,W_CHN_228,F,20,2,N/A,Economics,Social Sciences,TOEFL (iBT),100,43,B2_0,4.83,4,8.83,0.83,3.5,4.25,4.38,3.89,4.56,4.5,5,3.75,4,3,4,3,5,,,,,,,,,,,,,,,,
W_CHN_PTJ0_242_B2_0_EDIT.txt,CHN,PTJ,B2_0,LC,291,26,15,41,278,9,10,10,10,9,80,76.3,W_CHN_242,M,19,1,N/A,Electronics,Sciences & Technology,NMET,128,47,B2_0,4.33,3.83,8.16,0.5,4,4,4,4.56,3.44,4.25,3.75,4,4,5,6,6,4,,,,,,,,,,,,,,,,
W_CHN_PTJ0_272_B2_0_EDIT.txt,CHN,PTJ,B2_0,LC,315,22,15,37,238,10,11,9,10,10,83.3,79.2,W_CHN_275,F,20,2,N/A,Business,Social Sciences,TOEFL (iBT),98,48,B2_0,5.5,5.67,11.17,-0.17,1.5,3.5,4.63,4,3.56,4.25,4,3.25,4.75,2,5,5,6,,,,,,,,,,,,,,,,
W_CHN_PTJ0_275_B2_0_EDIT.txt,CHN,PTJ,B2_0,LC,236,50,36,86,309,11,9,9,10,10,81.7,78.3,W_CHN_277,M,19,2,N/A,Mechanical Engineering,Sciences & Technology,TOEFL (iBT),90,32,B2_0,4.83,4.83,9.66,0,4,4.38,3.38,3.56,4.22,4.75,3.75,3.75,3.25,1,5,5,5,,,,,,,,,,,,,,,,
W_CHN_PTJ0_316_B2_0_EDIT.txt,CHN,PTJ,B2_0,LC,345,40,30,70,334,7,8,10,10,9,73.3,67.9,W_CHN_316,F,20,2,N/A,Business,Social Sciences,TOEFL (iBT),103,45,B2_0,6,3.67,9.67,2.33,2.5,3.25,6,4.56,4.22,4.75,5.25,4,4.5,3,3,4,4,,,,,,,,,,,,,,,,
W_CHN_SMK0_001_B1_1_EDIT.txt,CHN,SMK,B1_1,LC,229,30,26,56,219,9,7,8,6,8,63.3,60.8,W_CHN_001,F,20,2,N/A,Law,Social Sciences,CEE,72,30,B1_1,0,0,0,0,2,3.63,4.25,3.89,3.56,4,4.5,3.5,3.75,4,5,5,4,,,,,,,,,,,,,,,,
W_CHN_SMK0_002_B1_1_EDIT.txt,CHN,SMK,B1_1,LC,279,27,31,58,292,10,10,9,9,9,78.3,75.4,W_CHN_002,F,21,3,N/A,Law,Social Sciences,CEE,77,27,B1_1,4.17,4.33,8.5,-0.16,2.5,4,1.86,3,2.88,3,3,2.75,3.33,3,3,3,3,,,,,,,,,,,,,,,,
W_CHN_SMK0_003_B1_1_EDIT.txt,CHN,SMK,B1_1,LC,258,41,38,79,250,8,7,8,8,7,63.3,61.3,W_CHN_003,F,20,3,N/A,Law,Social Sciences,CEE,79,32,B1_1,5.17,5.17,10.34,0,3.5,4.25,4.25,4.22,4.11,5,4,3.75,4.25,4,5,5,5,,,,,,,,,,,,,,,,
W_CHN_SMK0_004_B1_2_EDIT.txt,CHN,SMK,B1_2,LC,230,32,31,63,230,9,9,9,9,10,76.7,71.7,W_CHN_004,F,20,2,N/A,Chemistry,Sciences & Technology,CEE,87,37,B1_2,4.67,5.17,9.84,-0.5,1,2.75,4.25,3.44,3,3.75,3.75,3.25,3.25,3,5,5,5,,,,,,,,,,,,,,,,
W_CHN_SMK0_005_B1_2_EDIT.txt,CHN,SMK,B1_2,LC,212,23,16,39,208,10,9,10,10,9,80,77.1,W_CHN_005,M,20,2,N/A,Chemistry,Sciences & Technology,CEE,84,44,B1_2,5.17,5.33,10.5,-0.16,2,3.63,4.88,4.33,3.67,5,5,3.25,3.75,3,5,5,5,,,,,,,,,,,,,,,,
W_CHN_SMK0_006_B1_2_EDIT.txt,CHN,SMK,B1_2,LC,232,34,23,57,235,10,9,9,8,9,75,72.1,W_CHN_006,F,20,2,N/A,Chemistry,Sciences & Technology,CEE,81,42,B1_2,4.67,4.83,9.5,-0.16,1,3.25,4.5,3.67,3.44,4.5,4.5,3.25,3.25,4,5,5,4,,,,,,,,,,,,,,,,
W_CHN_SMK0_007_B1_1_EDIT.txt,CHN,SMK,B1_1,LC,210,26,20,46,208,11,11,11,10,9,86.7,84.6,W_CHN_007,M,19,1,N/A,Telecommunication,Sciences & Technology,CEE,89,34,B1_1,4.67,5.5,10.17,-0.83,1,2.75,5,4.11,3,4,4.25,3.5,3.75,1,4,5,5,,,,,,,,,,,,,,,,
W_CHN_SMK0_008_B1_2_EDIT.txt,CHN,SMK,B1_2,LC,217,17,15,32,221,10,9,10,8,7,73.3,72.9,W_CHN_008,F,19,1,N/A,Telecommunication,Sciences & Technology,CEE,95,39,B1_2,5,5.67,10.67,-0.67,3,4,5,4.56,4.11,4.5,5,4.25,4.25,5,5,5,5,,,,,,,,,,,,,,,,
W_CHN_SMK0_009_B1_2_EDIT.txt,CHN,SMK,B1_2,LC,206,20,18,38,207,10,9,9,9,10,78.3,74.2,W_CHN_009,F,20,1,N/A,Telecommunication,Sciences & Technology,CEE,97,40,B1_2,5.5,5.83,11.33,-0.33,2,4.63,5,4.89,4.11,4.75,5.5,4.5,4.5,4,6,5,6,,,,,,,,,,,,,,,,
W_CHN_SMK0_010_B1_1_EDIT.txt,CHN,SMK,B1_1,LC,245,35,24,59,241,9,10,10,9,8,76.7,74.2,W_CHN_010,F,18,1,N/A,Telecommunication,Sciences & Technology,CEE,90,33,B1_1,4.33,4.83,9.16,-0.5,1,4.5,4.63,4.33,4,4.75,5,4,4.5,3,5,4,6,,,,,,,,,,,,,,,,
W_CHN_SMK0_011_B1_1_EDIT.txt,CHN,SMK,B1_1,LC,236,34,32,66,237,7,6,10,8,8,65,60.8,W_CHN_011,M,18,1,N/A,Telecommunication,Sciences & Technology,CEE,83,35,B1_1,4.83,4.5,9.33,0.33,1,4.25,4.13,4,3.67,4.5,5,3.5,3.75,3,3,5,5,,,,,,,,,,,,,,,,
W_CHN_SMK0_012_B1_1_EDIT.txt,CHN,SMK,B1_1,LC,259,24,24,48,264,11,11,10,10,8,83.3,82.5,W_CHN_012,F,19,1,N/A,Telecommunication,Sciences & Technology,CEE,89,35,B1_1,4.67,4.33,9,0.34,1,2.63,4.75,4.11,2.67,3.75,4,3.5,3.5,2,4,4,5,,,,,,,,,,,,,,,,
W_CHN_SMK0_013_B1_2_EDIT.txt,CHN,SMK,B1_2,LC,261,38,25,63,252,10,11,9,9,6,75,75.8,W_CHN_013,F,19,2,N/A,Law,Social Sciences,CEE,85,39,B1_2,4.33,5.17,9.5,-0.84,2,3.75,4.25,3.89,3.67,4.25,5,3.25,3.5,6,6,5,4,,,,,,,,,,,,,,,,
W_CHN_SMK0_014_B1_2_EDIT.txt,CHN,SMK,B1_2,LC,250,16,12,28,248,10,11,10,11,11,88.3,82.9,W_CHN_014,F,19,2,N/A,Law,Social Sciences,CEE,85,39,B1_2,4.33,5.67,10,-1.34,4,4.25,3.63,3.89,4,4,4.75,3.5,3.5,6,6,5,3,,,,,,,,,,,,,,,,
W_CHN_SMK0_015_B1_2_EDIT.txt,CHN,SMK,B1_2,LC,232,29,25,54,227,6,8,8,7,6,58.3,55.8,W_CHN_015,F,19,2,N/A,Law,Social Sciences,CEE,84,38,B1_2,4.5,4.83,9.33,-0.33,2,3.88,4,4,3.44,4.5,4.25,3.5,3.5,2,4,4,4,,,,,,,,,,,,,,,,
W_CHN_SMK0_016_B1_2_EDIT.txt,CHN,SMK,B1_2,LC,244,24,29,53,250,8,10,8,7,10,71.7,65.8,W_CHN_016,F,19,2,N/A,Law,Social Sciences,CEE,81,39,B1_2,4.17,5.17,9.34,-1,2,4.25,3.75,3.78,3.78,4.25,4.75,3.5,3.5,5,5,5,4,,,,,,,,,,,,,,,,
W_CHN_SMK0_017_B1_1_EDIT.txt,CHN,SMK,B1_1,LC,208,19,15,34,211,10,11,10,9,11,85,79.6,W_CHN_017,F,19,2,N/A,Law,Social Sciences,CEE,80,35,B1_1,4.33,5,9.33,-0.67,2,3.38,3.5,3.56,3,3.5,3.5,3,3.75,5,5,5,5,,,,,,,,,,,,,,,,
W_CHN_SMK0_018_B1_2_EDIT.txt,CHN,SMK,B1_2,LC,220,49,27,76,189,4,5,6,5,4,40,38.3,W_CHN_018,F,19,2,N/A,Law,Social Sciences,CEE,85,39,B1_2,4.33,5.67,10,-1.34,4,4.25,3.63,3.89,4,4,4.75,3.5,3.5,6,6,5,3,,,,,,,,,,,,,,,,
W_CHN_SMK0_020_B1_1_EDIT.txt,CHN,SMK,B1_1,LC,220,32,19,51,204,9,9,9,10,9,76.7,72.9,W_CHN_020,F,19,2,N/A,Education,Humanities,CEE,65,25,B1_1,5.33,4.17,9.5,1.16,2,3.13,3.63,3.11,3.33,3.25,3.75,4,2.5,6,1,1,6,,,,,,,,,,,,,,,,
W_CHN_SMK0_021_A2_0_EDIT.txt,CHN,SMK,A2_0,LC,209,23,25,48,206,8,8,9,9,9,71.7,67.1,W_CHN_021,F,20,2,N/A,Education,Humanities,CEE,82,17,A2_0,5.67,5.67,11.34,0,1,4.5,4.5,4.33,3.89,5,5,3.25,4.75,2,5,2,5,,,,,,,,,,,,,,,,
W_CHN_SMK0_022_A2_0_EDIT.txt,CHN,SMK,A2_0,LC,218,30,20,50,212,10,10,8,8,10,76.7,72.5,W_CHN_022,F,20,2,N/A,Education,Humanities,CEE,68,21,A2_0,5.67,5.67,11.34,0,1,1.88,3.25,2.67,2.11,4.25,2.5,2,1.5,2,4,3,5,,,,,,,,,,,,,,,,
W_CHN_SMK0_023_B1_1_EDIT.txt,CHN,SMK,B1_1,LC,213,29,21,50,210,5,8,9,9,9,66.7,59.6,W_CHN_023,F,20,2,N/A,Education,Humanities,CEE,70,27,B1_1,5.5,5.83,11.33,-0.33,4,4.75,5.38,4.89,5,5.5,5.25,4.5,5,5,5,5,5,,,,,,,,,,,,,,,,
W_CHN_SMK0_024_A2_0_EDIT.txt,CHN,SMK,A2_0,LC,197,22,22,44,201,9,10,9,8,10,76.7,71.7,W_CHN_024,F,19,2,N/A,Education,Humanities,CEE,65,24,A2_0,4.5,4.33,8.83,0.17,1,2.13,4.13,3.11,2.67,3.5,3,2.75,3.25,1,4,2,4,,,,,,,,,,,,,,,,
W_CHN_SMK0_026_A2_0_EDIT.txt,CHN,SMK,A2_0,LC,230,25,17,42,224,4,6,7,6,8,51.7,45,W_CHN_026,F,20,2,N/A,Education,Humanities,CEE,67,16,A2_0,4.83,4.83,9.66,0,1,3.13,3.63,3.11,3.11,3.5,3.25,3.25,3.5,1,5,5,5,,,,,,,,,,,,,,,,
W_CHN_SMK0_028_B2_0_EDIT.txt,CHN,SMK,B2_0,LC,281,17,19,36,284,12,11,11,11,11,93.3,89.6,W_CHN_028,F,19,1,N/A,Technology,Sciences & Technology,CEE,87,47,B2_0,5.67,5.67,11.34,0,5,5.63,5.63,5.44,5.67,5.75,5.75,5.5,5.5,6,6,6,6,,,,,,,,,,,,,,,,
W_CHN_SMK0_038_A2_0_EDIT.txt,CHN,SMK,A2_0,LC,221,30,19,49,210,10,9,9,8,10,76.7,72.5,W_CHN_038,F,18,1,N/A,Business,Social Sciences,CEE,77,16,A2_0,5.33,4,9.33,1.33,3.5,4.38,5.13,5.11,4.11,5.25,5,4,4.75,5,5,4,3,,,,,,,,,,,,,,,,
