Code,Country,PTJ1 (wds),PTJ2 (wds),SMK1 (wds),SMK2 (wds),Self Ev,Sex,Age,Grade/Degree,Yrs of Stay (< Yrs),ENS Type,Major/ Occupation,Acad. Genre,Test,Score,VST,CEFR,INTM,INSM,INTM+INSM,INTM-INSM,Primary,Secondary,College,Inschool,Outschool,Listening,Reading,Speaking,Writing,NS,Pronunciation,Presentation,EssayW
W_CHN_028,CHN,219,N/A,284,N/A,N/A,F,19,1,N/A,N/A,Technology,Sciences & Technology,CEE,87 ,47,B2_0,5.67,5.67,11.34,0,5,5.63,5.63,5.44,5.67,5.75,5.75,5.5,5.5,6,6,6,6
W_CHN_029,CHN,209,N/A,200,N/A,N/A,F,18,1,N/A,N/A,Technology,Sciences & Technology,CEE,90 ,28,B1_1,3.67,5.17,8.84,-1.5,1,4.38,5.13,4.33,4.33,5.25,5.25,3.75,4.75,2,5,5,5
W_CHN_030,CHN,226,N/A,203,N/A,N/A,M,18,1,N/A,N/A,Technology,Sciences & Technology,CEE,90 ,36,B1_2,5,5.5,10.5,-0.5,1,4.25,4.38,4.22,3.67,4.25,5,3.75,4.25,4,5,5,4
W_CHN_031,CHN,232,N/A,214,N/A,N/A,M,19,1,N/A,N/A,Technology,Sciences & Technology,CEE,88 ,34,B1_1,3.67,3.67,7.34,0,1,3.75,4.38,4.11,3.33,4.75,4,3.5,4,5,3,4,3
W_CHN_032,CHN,230,N/A,224,N/A,N/A,F,19,1,N/A,N/A,Technology,Sciences & Technology,CEE,88 ,33,B1_1,5,5.17,10.17,-0.17,1,3.75,4.75,4.22,3.56,4.25,4.75,4,4,5,5,5,5
W_CHN_033,CHN,206,N/A,210,N/A,N/A,F,19,1,N/A,N/A,Technology,Sciences & Technology,CEE,91 ,36,B1_2,4.5,5.17,9.67,-0.67,1,4,4.75,4.33,3.67,4.25,5,4.25,4,4,5,4,4
W_CHN_034,CHN,213,N/A,201,N/A,N/A,M,18,1,N/A,N/A,Technology,Sciences & Technology,CEE,91 ,34,B1_1,4.83,5.17,10,-0.34,3,4,4.88,4.78,3.78,5,4.75,4,4,3,5,4,4
W_CHN_035,CHN,228,N/A,243,N/A,N/A,F,19,1,N/A,N/A,Technology,Sciences & Technology,CEE,93 ,29,B1_1,5.17,3.67,8.84,1.5,2,3,4.63,3.67,3.56,4,4,3.5,3.75,2,5,5,6
W_CHN_036,CHN,212,N/A,230,N/A,N/A,M,18,1,N/A,N/A,Technology,Sciences & Technology,CEE,91 ,34,B1_1,4.83,5.17,10,-0.34,1,4.38,4.88,4.44,4,4.75,4.75,4.25,4.75,6,5,5,5
W_CHN_037,CHN,225,N/A,203,N/A,N/A,F,18,1,N/A,N/A,Technology,Sciences & Technology,CEE,83 ,31,B1_1,5,5.17,10.17,-0.17,3,4.38,5.25,4.89,4.33,5,5,4.5,4.75,6,6,6,6
W_CHN_038,CHN,208,N/A,210,N/A,N/A,F,18,1,N/A,N/A,Business,Social Sciences,CEE,77 ,16,A2_0,5.33,4,9.33,1.33,3.5,4.38,5.13,5.11,4.11,5.25,5,4,4.75,5,5,4,3
W_CHN_039,CHN,212,N/A,210,N/A,N/A,F,19,1,N/A,N/A,Business,Social Sciences,CEE,79 ,24,A2_0,4,3.5,7.5,0.5,2,4,2.88,3.22,3.33,4.5,3.25,2.75,3.25,6,5,6,5
W_CHN_040,CHN,252,N/A,288,N/A,N/A,M,17,1,N/A,N/A,Business,Social Sciences,CEE,68 ,25,B1_1,4.5,4.5,9,0,2.5,3.25,3.25,3.44,2.89,4,3.25,2.75,3,5,4,5,5
W_CHN_041,CHN,232,N/A,204,N/A,N/A,F,18,1,N/A,N/A,Business,Social Sciences,CEE,74 ,15,A2_0,3.17,5.67,8.84,-2.5,1,3.38,3.38,4.44,1.78,3.75,3.25,3,3.5,4,6,4,5
W_CHN_042,CHN,252,N/A,234,N/A,N/A,F,18,1,N/A,N/A,Business,Social Sciences,CEE,79 ,28,B1_1,4.17,5.17,9.34,-1,3,3.88,3.38,4,3.11,4.25,3.5,3.75,3,5,5,6,6
W_CHN_043,CHN,232,N/A,212,N/A,N/A,F,18,1,N/A,N/A,Business,Social Sciences,CEE,83 ,31,B1_1,4.83,5.83,10.66,-1,4,4.38,4.75,4.67,4.33,4.75,5,4.5,4,5,3,4,5
W_CHN_044,CHN,307,N/A,279,N/A,N/A,F,19,1,N/A,N/A,Business,Social Sciences,CEE,72 ,21,A2_0,4.83,3.33,8.16,1.5,3,3.75,3.63,3.56,3.67,3.25,3.5,4.25,3.75,5,4,5,5
W_CHN_045,CHN,233,N/A,199,N/A,N/A,M,19,1,N/A,N/A,Business,Social Sciences,CEE,76 ,23,A2_0,5.33,4.83,10.16,0.5,3.5,4.25,3.75,4.67,3.22,4.25,4,3.75,4,3,5,5,5
W_CHN_046,CHN,218,N/A,280,N/A,N/A,F,19,1,N/A,N/A,Business,Social Sciences,CEE,80 ,18,A2_0,5.17,4.67,9.84,0.5,3,4.5,5.13,4.67,4.56,4.25,5,4.75,5.25,5,5,5,5
W_CHN_047,CHN,259,N/A,183,N/A,N/A,F,18,1,N/A,N/A,Business,Social Sciences,CEE,79 ,28,B1_1,4.5,5.17,9.67,-0.67,1.5,4.75,4.63,4.78,3.89,5.25,4.5,4.25,4.75,5,5,5,5
W_CHN_048,CHN,231,N/A,212,N/A,N/A,F,18,1,N/A,N/A,Business,Social Sciences,CEE,85 ,31,B1_1,5,5.17,10.17,-0.17,3.5,4.13,3.38,3.89,3.56,5,4.5,3.25,2.25,5,5,6,4
W_CHN_049,CHN,224,N/A,205,N/A,N/A,M,18,1,N/A,N/A,Finance,Social Sciences,CEE,70 ,21,A2_0,3.5,3.33,6.83,0.17,3,3.13,3.75,3.33,3.44,3.75,3.75,3.5,2.75,4,4,5,5
W_CHN_050,CHN,206,N/A,203,N/A,N/A,M,18,1,N/A,N/A,Finance,Social Sciences,CEE,79 ,19,A2_0,5.33,5.33,10.66,0,3,4.25,5,4.89,4,4.5,4.75,4.75,4.5,5,5,5,4
W_CHN_051,CHN,226,N/A,221,N/A,N/A,F,18,1,N/A,N/A,Finance,Social Sciences,CEE,75 ,40,B1_2,4,5.5,9.5,-1.5,2,3.5,3.25,4.33,2.11,5.5,2.5,3,2.5,5,6,5,5
W_CHN_052,CHN,213,N/A,220,N/A,N/A,F,18,1,N/A,N/A,Finance,Social Sciences,CEE,75 ,25,B1_1,5,5.17,10.17,-0.17,1.5,3.5,5.5,4.78,3.56,5.25,4.75,3.75,4.25,6,6,6,6
W_CHN_053,CHN,230,N/A,218,N/A,N/A,M,18,1,N/A,N/A,Finance,Social Sciences,CEE,85 ,30,B1_1,4,5,9,-1,1.5,4.63,6,5,4.78,5.25,5,5,6,6,6,6,6
W_CHN_054,CHN,215,N/A,258,N/A,N/A,M,18,1,N/A,N/A,Finance,Social Sciences,CEE,81 ,26,B1_1,6,5.67,11.67,0.33,6,5.88,5.75,5.89,5.78,6,6,5.75,5.5,6,6,6,6
W_CHN_055,CHN,235,N/A,261,N/A,N/A,F,17,1,N/A,N/A,Finance,Social Sciences,CEE,80 ,24,A2_0,6,6,12,0,3,4.88,5.5,5.22,4.67,5,5.75,4.5,5.5,6,6,6,6
W_CHN_056,CHN,234,N/A,209,N/A,N/A,M,18,1,N/A,N/A,Finance,Social Sciences,CEE,71 ,32,B1_1,5,5,10,0,2,2.75,4.75,3.56,3.56,4,3.75,3.5,3.75,5,5,5,5
W_CHN_057,CHN,266,N/A,222,N/A,N/A,F,18,1,N/A,N/A,Finance,Social Sciences,CEE,75 ,28,B1_1,4.5,5.17,9.67,-0.67,1,4.75,5.13,5.44,3.56,4.75,4.75,4.75,5.5,5,3,5,5
W_CHN_058,CHN,206,N/A,209,N/A,N/A,F,18,1,N/A,N/A,Finance,Social Sciences,CEE,79 ,20,A2_0,4.83,4.33,9.16,0.5,2,2.88,4.75,4.33,2.89,4,4,3.75,3.5,3,6,6,2
W_CHN_059,CHN,204,N/A,200,N/A,N/A,F,18,1,N/A,N/A,Finance,Social Sciences,CEE,68 ,23,A2_0,4.33,3.67,8,0.66,2,3,3.38,3.56,2.56,3,3.75,3,3,5,5,5,2
W_CHN_060,CHN,213,N/A,216,N/A,N/A,F,19,1,N/A,N/A,Finance,Social Sciences,CEE,79 ,25,B1_1,4.17,5,9.17,-0.83,2,3.5,4.25,4,3.33,3.5,3.75,3.25,5,5,5,5,5
W_CHN_061,CHN,217,N/A,221,N/A,N/A,M,18,1,N/A,N/A,Finance,Social Sciences,CEE,70 ,19,A2_0,2.83,5,7.83,-2.17,2,3.38,3.63,3.56,3.11,4,3.25,3,3.75,5,5,6,5
W_CHN_062,CHN,261,N/A,256,N/A,N/A,M,18,1,N/A,N/A,Finance,Social Sciences,CEE,90 ,25,B1_1,4.5,4.5,9,0,1,3.25,4.75,3.89,3.44,4,4.25,3.5,4.25,6,6,6,5
W_CHN_063,CHN,239,N/A,211,N/A,N/A,M,18,1,N/A,N/A,Finance,Social Sciences,CEE,69 ,35,B1_1,4.33,5.17,9.5,-0.84,1.5,3.38,5.88,4.56,4,5.25,4.25,4.5,4.5,5,5,5,5
W_CHN_064,CHN,269,N/A,209,N/A,N/A,F,18,1,N/A,N/A,Finance,Social Sciences,CEE,85 ,24,A2_0,5,2.67,7.67,2.33,2,3.63,4.75,5,2.89,4.5,4.25,3.75,4.25,5,6,2,5
W_CHN_065,CHN,218,N/A,204,N/A,N/A,M,18,1,N/A,N/A,Finance,Social Sciences,CEE,68 ,21,A2_0,3.67,4.33,8,-0.66,1,1.63,5.75,3.67,3.11,3.75,3.75,3.25,4,6,6,4,6
W_CHN_066,CHN,214,N/A,218,N/A,N/A,F,18,1,N/A,N/A,Finance,Social Sciences,CEE,83 ,19,A2_0,5.33,5.83,11.16,-0.5,3.5,5,6,5.89,4.67,5,5.5,5.5,6,6,6,6,6
W_CHN_067,CHN,215,N/A,214,N/A,N/A,F,19,1,N/A,N/A,Finance,Social Sciences,CEE,88 ,27,B1_1,5.33,3.83,9.16,1.5,2,3.63,4,5.11,2.11,3.75,4,3.75,3.75,6,6,6,6
W_CHN_068,CHN,269,N/A,301,N/A,N/A,M,18,1,N/A,N/A,Finance,Social Sciences,CEE,85 ,29,B1_1,4.67,5.5,10.17,-0.83,3,2.88,5.38,4.56,3.44,4,4.5,3.5,4.5,6,6,6,6
W_CHN_069,CHN,210,N/A,211,N/A,N/A,F,18,1,N/A,N/A,Finance,Social Sciences,CEE,73 ,26,B1_1,4.17,4.67,8.84,-0.5,2,3,4.25,3.56,3.33,4,3.5,3.5,3.5,5,5,5,5
W_CHN_070,CHN,211,N/A,204,N/A,N/A,F,18,1,N/A,N/A,Finance,Social Sciences,CEE,84 ,34,B1_1,4.67,3.83,8.5,0.84,2,4.38,5.25,4.67,4.33,5,5.5,2.75,6,5,6,6,5
W_CHN_071,CHN,213,N/A,252,N/A,N/A,M,19,1,N/A,N/A,Finance,Social Sciences,CEE,79 ,24,A2_0,5.17,5.17,10.34,0,2.5,3.5,6,4.78,4.22,4.75,4.75,4.75,4.75,6,6,6,6
W_CHN_072,CHN,213,N/A,214,N/A,N/A,F,18,1,N/A,N/A,Finance,Social Sciences,CEE,81 ,23,A2_0,3.83,4.5,8.33,-0.67,3,3.63,4,5.78,1.67,4.25,3.75,3.75,3.5,6,6,6,6
W_CHN_073,CHN,238,N/A,212,N/A,N/A,F,18,1,N/A,N/A,Finance,Social Sciences,CEE,81 ,30,B1_1,4.67,5.17,9.84,-0.5,3.5,3.75,4.5,4.67,3.44,4.25,4.25,4,4,5,5,5,5
W_CHN_074,CHN,285,N/A,203,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,80 ,44,B1_2,5.17,5.33,10.5,-0.16,2,3.75,5.13,4.67,3.67,5,5,3.5,4.25,2,5,5,6
W_CHN_075,CHN,237,N/A,207,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,79 ,41,B1_2,4.33,4.67,9,-0.34,1,3.75,4.25,4,3.33,4.75,4.75,3,3.5,6,6,5,4
W_CHN_076,CHN,241,N/A,234,N/A,N/A,M,19,2,N/A,N/A,Economics,Social Sciences,CEE,69 ,30,B1_1,5.33,5,10.33,0.33,4.5,4.63,4.63,4.67,4.56,5,4.75,4.25,4.5,5,5,5,5
W_CHN_077,CHN,244,N/A,215,N/A,N/A,M,19,2,N/A,N/A,Economics,Social Sciences,CEE,73 ,34,B1_1,4.67,5,9.67,-0.33,3,4.88,4.88,4.56,4.78,4.5,5.25,4.75,5,5,4,5,5
W_CHN_078,CHN,216,N/A,239,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,89 ,36,B1_2,5,5.17,10.17,-0.17,3.5,4.75,4.63,4.67,4.44,5.25,4.75,4,4.75,5,5,5,5
W_CHN_079,CHN,305,N/A,298,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,83 ,34,B1_1,4.33,5.67,10,-1.34,5,4.38,3.38,4.22,3.78,4,4.5,3.5,3.5,6,6,5,2
W_CHN_080,CHN,231,N/A,206,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,86 ,29,B1_1,6,5.5,11.5,0.5,4,4.63,4.5,4.44,4.56,4.75,5.5,4,4,5,5,5,4
W_CHN_081,CHN,303,N/A,228,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,79 ,28,B1_1,4.83,4.83,9.66,0,3.5,3.63,4.38,4.33,3.56,4.75,3.75,3.75,3.75,1,5,5,5
W_CHN_082,CHN,205,N/A,211,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,80 ,26,B1_1,4.67,4,8.67,0.67,2,4,4.5,4.67,3.33,4.25,4.25,4.25,4.25,5,5,5,5
W_CHN_083,CHN,222,N/A,203,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,79 ,35,B1_1,5.33,5.33,10.66,0,3.5,5,4.88,4.78,4.78,5.25,4.75,4.75,5,5,6,5,5
W_CHN_084,CHN,302,N/A,262,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,82 ,38,B1_2,5.33,5.17,10.5,0.16,3,4.75,4.75,4.89,4.22,5.25,5.25,4,4.5,5,5,5,5
W_CHN_085,CHN,268,N/A,230,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,85 ,41,B1_2,4.83,5.67,10.5,-0.84,4,4.25,4.5,4.89,3.78,4.25,4.75,4.5,4,2,5,5,4
W_CHN_086,CHN,220,N/A,258,N/A,N/A,F,20,2,N/A,N/A,Economics,Social Sciences,CEE,73 ,26,B1_1,4.17,5,9.17,-0.83,2,3.75,2.75,3.78,2.44,3.75,3.25,2.75,3.25,2,3,4,4
W_CHN_087,CHN,205,N/A,205,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,81 ,23,A2_0,3,3.33,6.33,-0.33,3,3.38,3.13,3.89,2.56,3.5,3.25,3.25,3,5,4,4,3
W_CHN_088,CHN,207,N/A,203,N/A,N/A,F,18,2,N/A,N/A,Economics,Social Sciences,CEE,76 ,28,B1_1,5,5.17,10.17,-0.17,3.5,3.75,4.13,4.33,3.44,4.25,3.75,3.75,4,4,4,4,4
W_CHN_089,CHN,247,N/A,298,N/A,N/A,F,20,2,N/A,N/A,Economics,Social Sciences,CEE,84 ,46,B1_2,5.17,5.83,11,-0.66,4,4.13,3.88,4,4,5,3.75,4,3.25,5,5,5,5
W_CHN_090,CHN,213,N/A,204,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,79 ,27,B1_1,3.67,3.83,7.5,-0.16,5,4.5,2.38,3.22,4,5,4.25,2.75,1.75,5,4,2,1
W_CHN_091,CHN,230,N/A,204,N/A,N/A,F,20,2,N/A,N/A,Economics,Social Sciences,CEE,85 ,26,B1_1,4.83,5.33,10.16,-0.5,2,4.13,4.38,3.89,4.11,4.25,4.5,4,4.25,4,4,5,4
W_CHN_092,CHN,241,N/A,268,N/A,N/A,M,20,2,N/A,N/A,Economics,Social Sciences,CEE,86 ,23,A2_0,4.67,4.67,9.34,0,4.5,4.75,4.38,4.44,4.67,4.75,4.75,4.25,4.5,2,5,5,4
W_CHN_093,CHN,208,N/A,202,N/A,N/A,M,21,2,N/A,N/A,Economics,Social Sciences,CEE,81 ,25,B1_1,5,4.67,9.67,0.33,3,4.38,4.25,4.44,3.89,4.5,4.5,4,4.25,5,5,5,5
W_CHN_094,CHN,252,N/A,214,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,77 ,35,B1_1,5,4.33,9.33,0.67,2,3.75,4.25,3.67,3.89,4.75,3.75,3.5,4,6,6,5,5
W_CHN_095,CHN,305,N/A,280,N/A,N/A,M,19,2,N/A,N/A,Economics,Social Sciences,CEE,86 ,29,B1_1,5,4.17,9.17,0.83,1.5,3.5,3.75,3.78,3,3.75,3.75,3.25,3.75,3,3,4,3
W_CHN_096,CHN,282,N/A,288,N/A,N/A,M,21,2,N/A,N/A,Economics,Social Sciences,CEE,92 ,31,B1_1,4.83,3.5,8.33,1.33,2,4.75,4.25,4.44,4,4.75,5,4,4.25,2,5,4,4
W_CHN_097,CHN,287,N/A,232,N/A,N/A,F,20,2,N/A,N/A,Economics,Social Sciences,CEE,85 ,21,A2_0,5,5.5,10.5,-0.5,1,3,3.5,4.22,1.78,3.75,2.75,3,3.5,5,6,5,6
W_CHN_098,CHN,298,N/A,251,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,90 ,27,B1_1,3.67,3.67,7.34,0,2,3.25,4.25,4.22,2.89,4.25,4,3.25,3.5,4,3,5,3
W_CHN_099,CHN,215,N/A,212,N/A,N/A,M,19,2,N/A,N/A,Economics,Social Sciences,CEE,78 ,24,A2_0,1.5,3.67,5.17,-2.17,1,2,3.25,2.67,2.22,3.75,2.25,2.25,2.25,1,3,2,5
W_CHN_100,CHN,306,N/A,257,N/A,N/A,F,20,2,N/A,N/A,Economics,Social Sciences,CEE,79 ,33,B1_1,4.83,5.33,10.16,-0.5,3,2.5,3.13,4.22,1.44,3,2.75,2.75,2.75,1,3,3,2
W_CHN_101,CHN,245,N/A,248,N/A,N/A,F,19,2,N/A,N/A,Economics,Social Sciences,CEE,90 ,35,B1_1,5,4.17,9.17,0.83,2.5,4.75,3.63,4.22,3.78,4.5,4.5,3.75,4,6,3,4,4
W_CHN_102,CHN,291,N/A,227,N/A,N/A,M,20,2,N/A,N/A,Economics,Social Sciences,CEE,85 ,26,B1_1,5,3.67,8.67,1.33,3.5,2.88,2.88,2.89,3,3,3,2.75,2.75,2,3,5,2
W_CHN_103,CHN,280,N/A,240,N/A,N/A,F,20,2,N/A,N/A,Economics,Social Sciences,CEE,88 ,34,B1_1,3.83,4.17,8,-0.34,2.5,3.88,4.25,3.89,3.89,4.5,4.75,3.5,3.5,6,6,5,4
W_CHN_104,CHN,220,N/A,210,N/A,N/A,F,20,2,N/A,N/A,Informatics,Sciences & Technology,CEE,86 ,28,B1_1,4.33,4.5,8.83,-0.17,2.5,3.5,3.38,3.44,3.22,4.25,3.75,2.75,3,2,4,3,3
W_CHN_105,CHN,223,N/A,203,N/A,N/A,F,19,2,N/A,N/A,Informatics,Sciences & Technology,CEE,87 ,31,B1_1,3.67,4.67,8.34,-1,1.5,4.38,4.38,4.44,3.67,4.75,4.5,3.5,4.75,1,4,4,2
W_CHN_106,CHN,230,N/A,217,N/A,N/A,F,19,2,N/A,N/A,Informatics,Sciences & Technology,CEE,72 ,29,B1_1,3.67,5,8.67,-1.33,2.5,2.88,2.75,3,2.56,3.25,3,2.25,2.75,2,3,3,4
W_CHN_107,CHN,243,N/A,202,N/A,N/A,M,20,2,N/A,N/A,Informatics,Sciences & Technology,CEE,76 ,31,B1_1,4.5,4,8.5,0.5,1,2.5,3.38,2.67,2.78,3.5,3.25,2.75,2.25,1,1,1,1
W_CHN_108,CHN,212,N/A,225,N/A,N/A,M,19,2,N/A,N/A,Informatics,Sciences & Technology,CEE,67 ,33,B1_1,4.17,5.17,9.34,-1,2,3.5,2.38,2.89,2.78,2.5,3,2.75,3.5,2,3,3,2
W_CHN_109,CHN,232,N/A,212,N/A,N/A,M,19,2,N/A,N/A,Informatics,Sciences & Technology,CEE,90 ,35,B1_1,4.67,4.17,8.84,0.5,2.5,3.5,3.75,3.89,3.11,4.5,3.25,2.75,4,1,4,2,2
W_CHN_110,CHN,212,N/A,205,N/A,N/A,F,19,2,N/A,N/A,Informatics,Sciences & Technology,CEE,93 ,26,B1_1,3,5,8,-2,3.5,5,2.63,4.11,3.44,4,3.75,3.75,3.75,1,4,4,4
